article,study_ID,reference,product_type,product_detail,product,innovativeness,sustainability,health,animal_welfare,first_year,period_data_collection,choice_experiment,collection_type,sample_size,continent,country,dependent_variable,consumer_type,consumer_group_paper,WTP_estimate,WTP_adjusted,unit,reference_product,price_WTP_reference,relative_difference,WTP_OR_logit_coefficient,SE_OR_SD,Price_estimate,SE_price,SE_WTP,relative_SE_WTP,group_share
"Arora, R.S., Brent, D.A. and Jaenicke, E.C., 2020. Is India ready for alt-meat? Preferences and willingness to pay for meat alternatives. Sustainability, 12(11), p.4377.

https://doi.org/10.3390/su12114377",arora2020,Arora et al. (2020),lab_gene_engin,meat,cell-based meat,1,1,0,0,2018,2018,1,in_person,394,Asia,India,WTP estimates with respect to conventional meat in  USD,traditionalist,Class 2 - meat,-68.11,81.89,rupee/kg,conventional meat price,150,-0.4540666666666667,2.2829999999999999,0.64100000000000001,-1.0999999999999999E-2,5.0000000000000001E-3,36.389094280116211,0.24259396186744145,0.275
"Arora, R.S., Brent, D.A. and Jaenicke, E.C., 2020. Is India ready for alt-meat? Preferences and willingness to pay for meat alternatives. Sustainability, 12(11), p.4377.

https://doi.org/10.3390/su12114377",arora2020,Arora et al. (2020),lab_gene_engin,meat,cell-based meat,1,1,0,0,2018,2018,1,in_person,394,Asia,India,WTP estimates with respect to conventional meat in  USD,intermediate,Class 3,17.3,167.3,rupee/kg,conventional meat price,150,0.11533333333333341,1.149,0.97399999999999998,-1.9E-2,4.0000000000000001E-3,15.110595332765495,0.10073730221843664,0.32
"Arora, R.S., Brent, D.A. and Jaenicke, E.C., 2020. Is India ready for alt-meat? Preferences and willingness to pay for meat alternatives. Sustainability, 12(11), p.4377.

https://doi.org/10.3390/su12114377",arora2020,Arora et al. (2020),lab_gene_engin,meat,cell-based meat,1,1,0,0,2018,2018,1,in_person,394,Asia,India,WTP estimates with respect to conventional meat in  USD,technology_open,Class 4,320.19,470.19,rupee/kg,conventional meat price,150,2.1346,3.976,0.68500000000000005,-0.01,4.0000000000000001E-3,139.45062051357129,0.9296708034238085,0.196
"Asioli, D., Zhou, X., Halmemies-Beauchet-Filleau, A., Vanhatalo, A., Givens, D.I., Rondoni, A. and Turpeinen, A.M., 2023. Consumers’ valuation for low-carbon emission and low–saturated fat butter. Food Quality and Preference, 108, p.104859.

https://doi.org/10.1016/j.foodqual.2023.104859",asioli2023,Asioli et al. (2023),improved_environmental_footprint,butter,butter from cows fed with rapeseed feed and reduced saturated fat,0,1,0,0,2019,2019,1,online,320,Europe,Finland,WTP,average,average,-0.4,2.5500000000000003,Euro/500g,reference price in grocery stored,2.95,-0.13559322033898302,-0.54,0.1,-1.34,0.08,7.7828345502912219E-2,0.02638249000098719,1
"Asioli, D., Zhou, X., Halmemies-Beauchet-Filleau, A., Vanhatalo, A., Givens, D.I., Rondoni, A. and Turpeinen, A.M., 2023. Consumers’ valuation for low-carbon emission and low–saturated fat butter. Food Quality and Preference, 108, p.104859.

https://doi.org/10.1016/j.foodqual.2023.104859",asioli2023,Asioli et al. (2023),improved_environmental_footprint,butter,butter from cows fed with rapeseed feed and reduced saturated fat,0,1,0,0,2019,2019,1,online,320,Europe,Finland,WTP,ecological,healthier and environmentalist,0.99,3.9400000000000004,Euro/500g,reference price in grocery stored,2.95,0.3355932203389831,0.25,0.08,-0.25,0.04,0.35,0.11864406779661016,1
"Asioli, D., Zhou, X., Halmemies-Beauchet-Filleau, A., Vanhatalo, A., Givens, D.I., Rondoni, A. and Turpeinen, A.M., 2023. Consumers’ valuation for low-carbon emission and low–saturated fat butter. Food Quality and Preference, 108, p.104859.

https://doi.org/10.1016/j.foodqual.2023.104859",asioli2023,Asioli et al. (2023),improved_environmental_footprint,butter,butter from cows fed with rapeseed feed and reduced saturated fat,0,1,0,0,2019,2019,1,online,320,Europe,Finland,WTP,price_sensitive,price sensitive,0.02,2.97,Euro/500g,reference price in grocery stored,2.95,0.006779661016949158,7.0000000000000007E-2,0.2,-2.96,0.21,7.0000000000000007E-2,0.023728813559322035,1
"Asioli, D., Zhou, X., Halmemies-Beauchet-Filleau, A., Vanhatalo, A., Givens, D.I., Rondoni, A. and Turpeinen, A.M., 2023. Consumers’ valuation for low-carbon emission and low–saturated fat butter. Food Quality and Preference, 108, p.104859.

https://doi.org/10.1016/j.foodqual.2023.104859",asioli2023,Asioli et al. (2023),improved_environmental_footprint,butter,butter from cows fed with rapeseed feed and reduced saturated fat,0,1,0,0,2019,2019,1,online,320,Europe,Finland,WTP,intermediate,neutral,-0.05,2.9000000000000004,Euro/500g,reference price in grocery stored,2.95,-0.01694915254237282,0.08,0.17,-1.5,0.13,0.12,0.04067796610169491,1
"Asioli, D., Zhou, X., Halmemies-Beauchet-Filleau, A., Vanhatalo, A., Givens, D.I., Rondoni, A. and Turpeinen, A.M., 2023. Consumers’ valuation for low-carbon emission and low–saturated fat butter. Food Quality and Preference, 108, p.104859.

https://doi.org/10.1016/j.foodqual.2023.104859",asioli2023,Asioli et al. (2023),improved_environmental_footprint,butter,butter from cows fed with rapeseed feed and reduced saturated fat,0,1,0,0,2019,2019,1,online,320,Europe,Finland,WTP,traditionalist,traditionalist,-8.9,-5.95,Euro/500g,reference price in grocery stored,2.95,-3.016949152542373,2.25,0.21,-0.25,0.08,2.69,0.9118644067796609,1
"Asioli, D., Zhou, X., Halmemies-Beauchet-Filleau, A., Vanhatalo, A., Givens, D.I., Rondoni, A. and Turpeinen, A.M., 2023. Consumers’ valuation for low-carbon emission and low–saturated fat butter. Food Quality and Preference, 108, p.104859.

https://doi.org/10.1016/j.foodqual.2023.104859",asioli2023,Asioli et al. (2023),improved_health,butter,butter with reduced saturated fat,0,0,1,0,2019,2019,1,online,320,Europe,Finland,WTP,average,average,0.32,3.27,Euro/500g,reference price in grocery stored,2.95,0.10847457627118638,0.43,0.08,-1.34,0.08,6.2525062530874864E-2,0.021194936451144016,1
"Asioli, D., Zhou, X., Halmemies-Beauchet-Filleau, A., Vanhatalo, A., Givens, D.I., Rondoni, A. and Turpeinen, A.M., 2023. Consumers’ valuation for low-carbon emission and low–saturated fat butter. Food Quality and Preference, 108, p.104859.

https://doi.org/10.1016/j.foodqual.2023.104859",asioli2023,Asioli et al. (2023),improved_health,butter,butter with reduced saturated fat,0,0,1,0,2019,2019,1,online,320,Europe,Finland,WTP,ecological,healthier and environmentalist,-3.16,-0.20999999999999996,Euro/500g,reference price in grocery stored,2.95,-1.071186440677966,0.8,0.08,-0.25,0.04,0.6,0.20338983050847456,1
"Asioli, D., Zhou, X., Halmemies-Beauchet-Filleau, A., Vanhatalo, A., Givens, D.I., Rondoni, A. and Turpeinen, A.M., 2023. Consumers’ valuation for low-carbon emission and low–saturated fat butter. Food Quality and Preference, 108, p.104859.

https://doi.org/10.1016/j.foodqual.2023.104859",asioli2023,Asioli et al. (2023),improved_health,butter,butter with reduced saturated fat,0,0,1,0,2019,2019,1,online,320,Europe,Finland,WTP,price_sensitive,price sensitive,0.03,2.98,Euro/500g,reference price in grocery stored,2.95,0.010169491525423662,0.08,0.19,-2.96,0.21,0.06,0.020338983050847456,1
"Asioli, D., Zhou, X., Halmemies-Beauchet-Filleau, A., Vanhatalo, A., Givens, D.I., Rondoni, A. and Turpeinen, A.M., 2023. Consumers’ valuation for low-carbon emission and low–saturated fat butter. Food Quality and Preference, 108, p.104859.

https://doi.org/10.1016/j.foodqual.2023.104859",asioli2023,Asioli et al. (2023),improved_health,butter,butter with reduced saturated fat,0,0,1,0,2019,2019,1,online,320,Europe,Finland,WTP,intermediate,neutral,-0.16,2.79,Euro/500g,reference price in grocery stored,2.95,-0.05423728813559327,0.24,0.15,-1.5,0.13,0.09,0.030508474576271184,1
"Asioli, D., Zhou, X., Halmemies-Beauchet-Filleau, A., Vanhatalo, A., Givens, D.I., Rondoni, A. and Turpeinen, A.M., 2023. Consumers’ valuation for low-carbon emission and low–saturated fat butter. Food Quality and Preference, 108, p.104859.

https://doi.org/10.1016/j.foodqual.2023.104859",asioli2023,Asioli et al. (2023),improved_health,butter,butter with reduced saturated fat,0,0,1,0,2019,2019,1,online,320,Europe,Finland,WTP,traditionalist,traditionalist,1.84,4.79,Euro/500g,reference price in grocery stored,2.95,0.623728813559322,0.46,0.18,-0.25,0.08,0.02,0.006779661016949152,1
"Bechtold, K.B. and Abdulai, A., 2013. Combining Likert scale attitudinal statements with choice experiments to analyze pref-erence heterogeneity for functional dairy products (No. 355-2016-18187).",bechtold2013,Bechtold and Abdulai (2013),improved_health,icecream,functional  ice cream,1,0,1,0,2010,2010-2011,1,online,1309,Europe,Germany,"WTP or WTA  for functional dairy (focus on omega 3 addition, as largest scope)",neophobia,class 1,0.55,0.55,Euro/ item,conventional ice cream WTP,2.14,-0.7429906542056075,0.81,0.27900000000000003,NA,NA,1.1836734693877553,0.553118443639138,0.215
"Bechtold, K.B. and Abdulai, A., 2013. Combining Likert scale attitudinal statements with choice experiments to analyze pref-erence heterogeneity for functional dairy products (No. 355-2016-18187).",bechtold2013,Bechtold and Abdulai (2013),improved_health,icecream,functional  ice cream,1,0,1,0,2010,2010-2011,1,online,1309,Europe,Germany,"WTP or WTA  for functional dairy (focus on omega 3 addition, as largest scope)",technology_open,class 2,0.41,0.41,Euro/ item,conventional ice cream WTP,-2.23,1.1838565022421526,0.46700000000000003,4.3999999999999997E-2,NA,NA,4.0816326530612242E-2,0.01830328543973643,0.405
"Bechtold, K.B. and Abdulai, A., 2013. Combining Likert scale attitudinal statements with choice experiments to analyze pref-erence heterogeneity for functional dairy products (No. 355-2016-18187).",bechtold2013,Bechtold and Abdulai (2013),improved_health,yoghurt,functional yoghurt,1,0,1,0,2010,2010-2011,1,online,1309,Europe,Germany,"WTP or WTA  for functional dairy (focus on omega 3 addition, as largest scope)",average,average calculated,NA,NA,Euro/ item,conventional yoghurt WTP,NA,0.386723764875586,NA,NA,NA,NA,4.9821428571428579E-2,0.08985792297445487,1
"Bechtold, K.B. and Abdulai, A., 2013. Combining Likert scale attitudinal statements with choice experiments to analyze pref-erence heterogeneity for functional dairy products (No. 355-2016-18187).",bechtold2013,Bechtold and Abdulai (2013),improved_health,yoghurt,functional yoghurt,1,0,1,0,2010,2010-2011,1,online,1309,Europe,Germany,"WTP or WTA  for functional dairy (focus on omega 3 addition, as largest scope)",neophobia,class 1,0.31,0.31,Euro/ item,conventional yoghurt WTP,0.47,-0.3404255319148936,1.5029999999999999,0.53600000000000003,NA,NA,0.18367346938775514,0.390794615718628,0.215
"Bechtold, K.B. and Abdulai, A., 2013. Combining Likert scale attitudinal statements with choice experiments to analyze pref-erence heterogeneity for functional dairy products (No. 355-2016-18187).",bechtold2013,Bechtold and Abdulai (2013),improved_health,yoghurt,functional yoghurt,1,0,1,0,2010,2010-2011,1,online,1309,Europe,Germany,"WTP or WTA  for functional dairy (focus on omega 3 addition, as largest scope)",technology_open,class 2,0.24,0.24,Euro/ item,conventional yoghurt WTP,-1.77,1.135593220338983,0.36899999999999999,3.4000000000000002E-2,NA,NA,2.5510204081632647E-2,0.0144125446788885,0.405
"Bechtold, K.B. and Abdulai, A., 2013. Combining Likert scale attitudinal statements with choice experiments to analyze pref-erence heterogeneity for functional dairy products (No. 355-2016-18187).",bechtold2013,Bechtold and Abdulai (2013),improved_health,cheese,functional cream cheese,1,0,1,0,2010,2010-2011,1,online,1309,Europe,Germany,"WTP or WTA  for functional dairy (focus on omega 3 addition, as largest scope)",average,average calculated,NA,NA,Euro/ item,conventional cream cheese WTP,NA,0.3437869970069836,NA,NA,NA,NA,4.4209183673469397E-2,0.03946064624719193,1
"Bechtold, K.B. and Abdulai, A., 2013. Combining Likert scale attitudinal statements with choice experiments to analyze pref-erence heterogeneity for functional dairy products (No. 355-2016-18187).",bechtold2013,Bechtold and Abdulai (2013),improved_health,cheese,functional cream cheese,1,0,1,0,2010,2010-2011,1,online,1309,Europe,Germany,"WTP or WTA  for functional dairy (focus on omega 3 addition, as largest scope)",neophobia,class 1,0.35,0.35,Euro/ item,conventional cream cheese WTP,0.97,-0.6391752577319588,0.88500000000000001,0.26,NA,NA,0.14795918367346941,0.15253524090048393,0.215
"Bechtold, K.B. and Abdulai, A., 2013. Combining Likert scale attitudinal statements with choice experiments to analyze pref-erence heterogeneity for functional dairy products (No. 355-2016-18187).",bechtold2013,Bechtold and Abdulai (2013),improved_health,cheese,functional cream cheese,1,0,1,0,2010,2010-2011,1,online,1309,Europe,Germany,"WTP or WTA  for functional dairy (focus on omega 3 addition, as largest scope)",technology_open,class 2,0.35,0.35,Euro/ item,conventional cream cheese WTP,-1.86,1.1881720430107525,0.498,3.7999999999999999E-2,NA,NA,3.0612244897959183E-2,0.016458196181698484,0.405
"Britton, L. L., & Tonsor, G. T. (2019). Consumers’ willingness to pay for beef products derived from RNA interference technology. Food Quality and Preference, 75, 187–197. https://doi.org/10.1016/j.foodqual.2019.02.008",britton2019,Britton and Tonsor (2019),lab_gene_engin,steak,RNAi technology for beef,1,0,1,0,2016,2016,1,online,3000,North_America,USA,WTP reported as  Used vs no claim,average,average (pooled),-1.88,6.409999999999999,USD/lb,average beef price (without RNAi claim),8.2899999999999991,-0.2267792521109771,1.88,0.11479591836734698,NA,NA,0.11479591836734698,0.013847517294010491,1
"Broeckhoven, I., Verbeke, W., Tur-Cardona, J., Speelman, S. and Hung, Y., 2021. Consumer valuation of carbon labeled protein-enriched burgers in European older adults. Food Quality and Preference, 89, p.104114.

https://doi.org/10.1016/j.foodqual.2020.104114",Broeckhoven2021,Broeckhoven et al. (2021),plant_based,burger,plant-based meat,0,1,0,0,2019,2019,1,online,2159,Europe,European countries,WTP,average,average,-14.000000000000002,86,percent,non-protein enriched meat burger,100,-0.14,-0.14000000000000001,1.0760778282064792E-3,-0.01,0,0.10760778282064792,0.0010760778282064792,1
"Chen, B., Zhou, G. and Hu, Y., 2023. Estimating consumers’ willingness to pay for plant-based meat and cultured meat in China. Food Quality and Preference, 111, p.104962.
https://doi.org/10.1016/j.foodqual.2023.104962",Chen2023,Chen et al. (2023),plant_based,meat,plant-based meat,0,1,1,0,2022,2022,0,online,1232,Asia,China,WTP,average,average,14.46,14.46,15 yuan/plant-based meat,average pork price in real market,15,-0.03599999999999994,7.12,0.71,NA,NA,0.23,0.015333333333333334,1
"Chen, B., Zhou, G. and Hu, Y., 2023. Estimating consumers’ willingness to pay for plant-based meat and cultured meat in China. Food Quality and Preference, 111, p.104962.
https://doi.org/10.1016/j.foodqual.2023.104962",Chen2023,Chen et al. (2023),lab_gene_engin,meat,cultured meat,1,1,1,0,2022,2022,0,online,1232,Asia,China,WTP,average,average,13.94,13.94,15 yuan/cultured meat,average pork price in real market,15,-0.0706666666666667,5.92,0.97,NA,NA,0.32,0.021333333333333333,1
"de-Magistris, T., Pascucci, S., & Mitsopoulos, D. (2015). Paying to see a bug on my food: how regulations and information can hamper radical innovations in the European Union. British Food Journal, 117(6), 1777–1792. doi:10.1108/bfj-06-2014-0222",de-Magistris2015,de-Magistris et al. (2015),insects,sushi,insect sushi,1,1,0,0,2011,2011-2012,1,in_person,155,Europe,Netherlands,"WTP for insect-based sushi when consumers see logo (overall, based on GML model)",average,average,2.92,2.92,€ per package of sushi,standard sushi,1.5,0.9466666666666667,2.92,0.70702179176755453,NA,NA,0.70702179176755453,0.4713478611783697,1
"Di Pasquale, J., Nannoni, E., Sardi, L., Rubini, G., Salvatore, R., Bartoli, L., ... & Martelli, G. (2019). Towards the abandonment of surgical castration in pigs: How is immunocastration perceived by Italian consumers?. Animals, 9(5), 198.10.3390/ani9050198",Dipasquale2019,Di Pasquale et al. (2019),improved_animal_welfare,pork,immunocastrated piglet,0,0,0,1,2019,2019,0,online,969,Europe,Italy,WTP,average,average,18.74,118.74,percent,surgically castrated piglet meat,100,0.18739999999999996,0.18739999999999996,NA,NA,NA,NA,NA,1
"Gao, Z., & Schroeder, T. C. (2009). Effects of Label Information on Consumer Willingness-to-Pay for Food Attributes. Applied EcoNomic Perspectives and Policy, 31(3), 536–550. https://doi.org/10.1111/j.1467-8276.2009.01259.x",gao2009,Gao and Schroeder (2009),improved_health,steak,enhanced omega 3 fatty acids in beef,1,0,1,0,2006,2006,1,online,310,North_America,USA,WTP,average,Chicago (survey panel),0.98,7.91,USD/lb,reference product in supermarket,6.93,0.1414141414141415,0.28999999999999998,0.22,-0.32,0,0.74344827586206907,0.10727969348659006,1
"Gao, Z., & Schroeder, T. C. (2009). Effects of Label Information on Consumer Willingness-to-Pay for Food Attributes. Applied EcoNomic Perspectives and Policy, 31(3), 536–550. https://doi.org/10.1111/j.1467-8276.2009.01259.x",gao2009,Gao and Schroeder (2009),improved_health,steak,enhanced omega 3 fatty acids in beef,1,0,1,0,2006,2006,1,online,211,North_America,USA,WTP,average,Manhatten (university members),0.12,7.05,USD/lb,reference product in supermarket,6.93,0.017316017316017333,0.06,0.74,-0.49,0,1.48,0.2135642135642136,1
"Goddard, E., Muringai, V. and Robinson, A., 2017. Consumer Interest in a Natural Designation in Food Choice (No. 1528-2017-5354).
https://ageconsearch.umn.edu/record/264421",Goddard2017,Goddardet al. (2017),improved_health,pork,pork chop contains high levels of carnosine,1,0,1,0,2016,2016,0,in_person,100,North_America,Canada,WTP,average,average,6.45,6.45,$/405g,regular pork chops,6,0.07500000000000002,0.76,0.15956330044089859,-1.61,0.46938775510204084,2.3173218909366846,0.3862203151561141,1
"Heid, A., & Hamm, U. (2013). Animal welfare versus food quality: Factors influencing organic consumers' preferences for alternatives to piglet castration without anaesthesia. Meat Science, 95(2), 203-211.10.1016/j.meatsci.2013.04.052",Heid2013,Heid and Hamm (2013),improved_animal_welfare,pork,immunocastrated piglet,0,0,0,1,2009,2009,0,in_person,89,Europe,Germany,WTP,average,Total,1.33,1.33,€/salami,Castrated without pain relief,1.19,0.11764705882352952,NA,NA,NA,NA,NA,NA,1
"Hong, X., Li, C., Wang, L., Wang, M., Grasso, S. and Monahan, F.J., 2023. Consumer Preferences for Processed Meat Reformulation Strategies: A Prototype for Sensory Evaluation Combined with a Choice-Based Conjoint Experiment. Agriculture, 13(2), p.234.

https://doi.org/10.3390/agriculture13020234",Hong2023,Hong et al. (2023),improved_health,sausage,omega-3-enriched pork sausages,1,0,1,0,NA,2018,1,in_person,326,Europe,Ireland,WTP,average,average,0.52,3.4200000000000004,Euro/454 g sausage pack,454 g pack of sausages average price,2.9000000000000004,0.1793103448275862,0.91,0.35326087,-2.2999999999999998,-0.89285714299999996,0.28547789322414174,0.09844065283591091,1
"Hung, Y., & Verbeke, W. (2018). Sensory attributes shaping consumers’ willingness-to-pay for newly developed processed meat products with natural compounds and a reduced level of nitrite. Food Quality and Preference, 70, 21-31.",Hung2018,Hung and Verbeke (2018),improved_health,sausage,sausages with natural compounds and a reduced level of nitrite,1,0,1,0,2015,2015,0,online,208,Europe,Belgium,WTP for processed meat products with natural compounds and a reduced level of nitrite in sausages,average,average,0.92,0.92,€/ 150g,conventional sausage,1.19,-0.22689075630252095,0.92,0.25,NA,NA,0.25,0.21008403361344535,1
"Hung, Y., & Verbeke, W. (2018). Sensory attributes shaping consumers’ willingness-to-pay for newly developed processed meat products with natural compounds and a reduced level of nitrite. Food Quality and Preference, 70, 21-31.",Hung2018,Hung and Verbeke (2018),improved_health,ham,ham with natural compounds and a reduced level of nitrite,1,0,1,0,2015,2015,0,online,107,Europe,Netherlands,WTP for processed meat products with natural compounds and a reduced level of nitrite in ham,average,average,1.36,1.36,"€ /
100g",conventional ham,2.19,-0.37899543378995426,1.36,0.36224489795918369,NA,NA,0.36224489795918369,0.1654086292051067,1
"Kallas, Z., Varela, E., Čandek-Potokar, M., Pugliese, C., Cerjak, M., Tomažin, U., Karolyi, D., Aquilani, C., Vitale, M. and Gil, J.M., 2019. Can innovations in traditional pork products help thriving EU untapped pig breeds? A non-hypothetical discrete choice experiment with hedonic evaluation. Meat science, 154, pp.75-85.
https://doi.org/10.1016/j.meatsci.2019.04.011",KallasVarela2019,Kallas et al. (2019b),improved_health,pork,pork patty plus dietary fiber,1,0,1,0,2017,2017,1,in_person,480,Europe,Spain,WTP of innovative (traditional) product,average,average,3.13,3.13,Euro/Patties 250 g,WTP of TTP (traditional product without innovation),3.48,-0.10057471264367819,3.13,0.3061224489795919,3.48,0.30612244897959179,0.3061224489795919,0.08796622097114709,1
"Kallas, Z., Varela, E., Čandek-Potokar, M., Pugliese, C., Cerjak, M., Tomažin, U., Karolyi, D., Aquilani, C., Vitale, M. and Gil, J.M., 2019. Can innovations in traditional pork products help thriving EU untapped pig breeds? A non-hypothetical discrete choice experiment with hedonic evaluation. Meat science, 154, pp.75-85.
https://doi.org/10.1016/j.meatsci.2019.04.011",KallasVarela2019,Kallas et al. (2019b),improved_health,ham,dry-cured ham less salting time,0,0,1,0,2017,2017,1,in_person,480,Europe,Croatia,WTP of innovative (traditional) product,average,average,14.38,14.38,Euro/Salami 200 g,WTP of TTP (traditional product without innovation),15.17,-0.052076466710612994,14.38,0.68877551020408145,15.17,0.84183673469387776,0.68877551020408145,0.04540379104839034,1
"Kallas, Z., Varela, E., Čandek-Potokar, M., Pugliese, C., Cerjak, M., Tomažin, U., Karolyi, D., Aquilani, C., Vitale, M. and Gil, J.M., 2019. Can innovations in traditional pork products help thriving EU untapped pig breeds? A non-hypothetical discrete choice experiment with hedonic evaluation. Meat science, 154, pp.75-85.
https://doi.org/10.1016/j.meatsci.2019.04.011",KallasVarela2019,Kallas et al. (2019b),improved_health,salami,salami natural conserving,0,0,1,0,2017,2017,1,in_person,480,Europe,Italy,WTP of innovative (traditional) product,average,average,2.39,2.39,Euro/Salami 100 g,WTP of TTP (traditional product without innovation),2.66,-0.10150375939849623,2.39,7.6530612244897919E-2,2.66,0.20408163265306117,7.6530612244897919E-2,0.028770906858984174,1
